Date,Time,Session,Session Title,Chairs,Presenters,Organizing Groups
12/04,12:00 - 13:30,PS067,"09c. Pre-clinical biofilm studies","","Assessment of the cefiderocol anti-biofilm effect against 28 clinical strains of multidrug-resistant Gram-negative bacilli: Marta D�AZ-NAVARRO | VG111 and its impact on Stenotrophomonas sepilia biofilms: unveiling a promising antibiofilm strategy: Vikas GAUTAM | Efficacy testing of antimicrobial fibrous wound dressings against in vitro polybacterial biofilm: Kelli RANDM�E | Activity of individual drugs against biofilm in hypervirulent Klebsiella pneumoniae: Qingqing XU | Beyond resistance ? Exploring biofilm dynamics in carbapenem-resistant Acinetobacter baumannii from urinary tract infections: Kavitha KUMAR | Biofilm characterisation and antimicrobial susceptibility of Gram-positive bacteria associated with osteoarticular infections: Paola BOCANEGRA IBARIAS | The role of Cutibacterium acnes in adolescent acne: a study of microbiome diversity and biofilm production: Alpana MOHTA | Biofilm induction by glucose and/or sodium chloride in S. aureus isolates from the airways of Spanish people with cystic fibrosis: Paula EGUIZ�BAL | Analysis and photodynamic inactivation of biofilm of carbapenemase-resistant isolates of Klebsiella pneumoniae in a regional hospital in Slovakia: Jaroslava DEKKEROV� | Reduction of bacterial adhesion on wrinkled surfaces under fluid shear: Rossella MAURO | Effects of small molecules and antimicrobial peptides targeting small RNA00203: pioneering antimicrobial solutions for biofilm-producing, multidrug-resistant Acinetobacter baumannii: Abebe Mekuria SHENKUTIE | Are biomass and metabolic activity staining biofilm techniques reliable enough to be used in microbiology laboratories?: Marta D�AZ-NAVARRO | Exploring the interaction between antimicrobials and bioactive glass in the Cutibacterium acnes in vitro biofilm formation and in the Galleria mellonella in vivo model: Mauro Jose COSTA SALLES | Evaluation of biofilm formation and the effectiveness of antimicrobial photodynamic therapy on polydioxanone yarns: Helv�cio CARDOSO CORR�A P�VOA | Trace/sublethal antimicrobials in hospital wastewaters act as stressors which promote enhanced biofilm-expression in Pseudomonas aeruginosa in clinical and environmental colonisation: �zge YETIS | Differences in pathogenic mechanisms of Gram-positive and Gram-negative strains in medical device-associated infections: Alba SANCHEZ MORILLO | Evaluation of rifampicin's potential for preventing the development and treating Pseudomonas aeruginosa biofilm in respiratory infections: Est�baliz TORRECILLA-S�DABA | Synergistic potential of rifampicin and aztreonam against Pseudomonas aeruginosa biofilm in respiratory infections: Est�baliz TORRECILLA-S�DABA | Genomic characterisation and antibiotic susceptibility of biofilm-forming Borrelia afzelii and Borrelia garinii from patients with erythema migrans: Giorgia FABRIZIO | Impact of penicillin susceptibility and endocarditis source on Enterococcus faecalis biofilm production: Julian AZZOUZI | Determination of the MBIC and MBEC of ciprofloxacin and colistin in biofilms produced by Pseudomonas aeruginosa: Ohiana RODRIGUEZ MEDINA | Exploring the biofilm-mediated resistance in polymicrobial infections involving clinically relevant pathogens: Joana ARA�JO ALVES DE CAMPOS","Not specified"
12/04,12:00 - 13:30,PS068,"09d.?Experimental and cellular microbiology","","Siderophore-PNA conjugates for antisense targeted control of bacterial pathogens: Mateusz WDOWIAK | Extracellular vesicles of minimalistic bacteria as mediators of immune modulation and horizontal gene transfer: Theresa WAGNER | 3D model of monoculture of lung epithelial cells with/without bacterial infection to evaluate mucosomes interaction and their antibacterial activity: Emanuela PELUSO | Characterisation of a novel H. pylori bacteriophage with therapeutic potential: Lu�s MELO | Deciphering the redox environment in bacteriophage-infected bacteria by flow cytometry (FCM): Jia Hao YEO | Green tea antioxidant epicatechin to inhibit the SOS response and tackle antibiotic resistance dissemination: Marina MURILLO TORRES | Nisin A and cefoxitin combination against staphylococcal biofilms: Mathieu GREGOIRE | New discovery on the mode of action of letermovir and the resistance mechanism of human cytomegalovirus: Claire GOURIN | ADAR-mediated RNA editing of influenza A virus RNA is age-dependent and inversely correlates with viral load: Julia WIDSTR�M | Pangenomic analysis of Haemophilus parainfluenzae reveals distinct metabolic patterns according to colonisation niche: Sonia P�REZ CASTRO | Typing and whole-genome analysis of lysogenic bacteriophages isolated from carbapenem-resistant Acinetobacter baumannii strains: Gulsen ULUCAM ATAY | Monoclonal antibodies for functional studies and therapeutic applications in pneumococcal infections: Sven HAMMERSCHMIDT | Model of activated macrophages infected with Streptococcus pneumoniae for immunomodulatory assays: Alba SOLER COMAS","Not specified"
12/04,12:00 - 13:30,PS069,"09e. Fundamental science studies using Omics (in vitro and in vivo)","","The establishment of a lytic phage library targeting carbapenem-resistant Klebsiella pneumoniae: Qingqing FANG | Characteristics of outer membrane vesicles from Klebsiella pneumoniae: a proteomic insights: Qiwen YANG | Pan-genomic analyses of digestive persistent Klebsiella pneumoniae in ICU patient: Benedicte LANGLOIS | Evolution of human metapneumovirus A2 in vitro and post human challenge: tracking viral polymorphism using next-generation sequencing: Nicolas NOULIN | Multi-OMICS techniques decipher distinct immunotypes and novel diagnostic signatures for EPTB: Jan RYBNIKER | Multi-omics profiling immunosuppressive status in severe pneumonia: Hongyu WANG | The potential of using photodynamic inactivation to treat microbial infections: Helena BUJD�KOV� | Metagenomic analysis reveals enterotype-based prognostic stratification in severe COVID-19 patients: Etienne RUPPE | Genomic landscape of Achromobacter xylosoxidans: Luis Angel NU�EZ GARCIA | Penetrating the pilus biogenesis in ESKAPE pathogens through in-silico and in vitro approaches: Sanket KAUSHIK | in vitro metabolic profiling of Acinetobacter baumannii in artificial urine medium and CAMHB: investigating the synergistic effects of colistin and sulbactam combination therapy: Xiaolan HUANG | Could archaea belong to Halobacteriales and Methanosarcinales order be biomarkers of schizophrenia? Studies on a rat model: Dominika SALAMON | A PCR-based test for classifying Staphylococcus aureus ST30 strains in phylogenetic groups: Agnes Marie FIGUEIREDO | Proteomic characterisation of extracellular vesicles from Enterococcus faecalis: Jean-Christophe GIARD | Response regulator OmpR-regulated metabolite succinate suppresses mucoviscosity of hypervirulence Klebsiella pneumoniae: Wang LIJUN | Unraveling the regulatory circuits underlying human memory T cell precursor differentiation for developing improved vaccine co-adjuvants: Samuele NOTARBARTOLO | Genomic characteristics of Listeria monocytogenes in clinical listeriosis: implications for pathogenicity and antibiotic resistance: Muhammad SHAFIQ","Not specified"
12/04,12:00 - 13:30,PS070,"09f. Immune response to infection (incl in vitro, animal and human studies, laboratory assessment of immunity and response, excl sepsis biomarkers)","","Age-stratified analysis of the association between cytokine profiles and clinical outcomes in severe fever with thrombocytopenia syndrome: Chenxi ZHAO | Therapy modulates the response to T cell epitopes over the spectrum of tuberculosis infection: Linda PETRONE | The PI3K-mTOR-HIF-alpha pathway regulates fibroblast-driven tissue destruction in tuberculosis: Ramla CUSMAN | Engineering Klebsiella pneumoniae's outer membrane proteins as novel antigen for therapeutic purposes: Virginia BATIGNANI | V-delta-2 T-cells response in people with mpox infection: a three-month longitudinal assessment: Eleonora CIMINI | Can the Torque teno virus viral load predict Clostridioides difficile infection and evolution?: Assaf MIZRAHI | Antigen-specific modulation of inflammation and tissue remodelling in neurocysticercosis: Luz M. TORIBIO | Pre-transplant anti-cytomegalovirus immunoglobulin G titers as predictor of cytomegalovirus infection in seropositive Filipino kidney transplant recipients: a retrospective cohort study: Vienne PINLAC | Lipopolysaccharide-induced inflammation and cardiomyocyte dysfunction in a cardiac spheroid model: Simon ATHLIN | Patients with TB disease differ from subjects with TB infection in the ability to in vitro control mycobacterial replication: Alessandra AIELLO | Cytokine modulation of mycobacterial restriction by macrophages: Auliana Ratri Prabandari HIDAYAT | Differential miRNA signatures in circulating CD4+ T cells of Indian patients with visceral leishmaniasis and post-kala-azar dermal leishmaniasis: Ritirupa ROY | Single-cell profiling of T-dependent immune response of Borrelia burgdorferi infection in a murine model: Varpu RINNE | Exploring the antimicrobial response of MAIT cells to Staphylococcus aureus and the impact of bacterial immune evasion: Elisa Justine Melina RAINERI | Alteration of transcriptional immune profile in patients with severe Legionnaires' disease: Camille ALLAM | Molecular pathways affected by clarithromycin treatment in community-acquired pneumonia: analysis of the ACCESS trial: Emmanouil STYLIANAKIS | Reduction in respiratory pathogen exposure and immunity in European children following COVID-19 non-pharmaceutical interventions: a link to the post-pandemic Group A Streptococcus outbreak: Kitt DOKAL | Micro- and nanoplastics  reduce the phagocytosis of E. coli by THP-1 macrophages: Florian EDBAUER | Systemic and mucosal antibody responses to Streptococcus pneumoniae serotype 3 carriage: Oluwasefunmi AKEJU | Differential local immune responses in Group A streptococcal necrotising soft tissue infections: Laura Marcela PALMA MEDINA | Sepsis-induced immune dysfunction weakens tumour defense and undermines immunotherapy efficacy: Santiago LETONA | Impaired neutrophil respiratory burst response in elderly and infectious states: Yuhan SUN | Genome-wide DNA methylation profiling in acute Lyme neuroborreliosis and over a one-year follow-up period: Anna J HENNINGSSON | FTY720-induced cryptococcosis reactivation in persistently infected mice: mechanisms uncovered: Michiko YOSHIDA | Virus and bacteria co-infection breaks the host adaptive immunity against IAV: Hui QI | Mitigating infectious disease by early neutrophil activation: Jan CUPPEN | Arginase-1-mediated T cell suppression by MDSCs in dermatophytic infection: a combined transcriptomic and functional study: Praveen Kumar SINGH | Co-infection with persistent HPV and Merkel cell polyomavirus enhances IFN-lambdas production in the anal mucosa of MLWH: Matteo FRACELLA","Not specified"
12/04,12:00 - 13:30,PS071,"10a. Host genetics: Susceptibility to infection & primary immunodeficiency","","Metagenomic sequencing reveals differences in lung microenvironment among patients with nontuberculous Mycobacterium pulmonary disease under different immune states: Le QIN","Not specified"
12/04,12:00 - 13:30,PS072,"10b. Infections related to solid organ transplantation","","Hepatitis B crossover boosters using a different product vs the boosters using the same product for renal transplant patients: a retrospective study with Bayesian inference: Kentaro IWATA | Epidemiological burden of and risk factors for ganciclovir resistant /refractory cytomegalovirus in solid organ transplant patients and haematopoietic stem cell transplant patients: a multicentre cohort study, the ReCySOHT study: preliminary results: Renato PASCALE | Post-surgical infections in liver transplantation performed using robotic surgery: preliminary results of a case-control study: Elena GHIDONI | Infectious complications in heart transplant recipients: a focus on fungal and mycobacterial infections: Sukru DIRIK | Impact of extended criteria donor transplants on infections in kidney and liver transplant recipients and marginal donor definition criteria: a systematic review: Cecilia BONAZZETTI | Is nebulised liposomal amphotericin B universal prophylaxis in lung transplant recipients still useful? A single-centre cohort: Arnau MONFORTE PALLAR�S | Clinical impact of preservation fluid culture in solid organ transplantation: a prospective observational study: Andrea CONA | HHV8-related diseases in solid organ transplantation: a case series: Cecilia BONAZZETTI | Vancomycin-resistant Enterococcus infections after liver transplantation: clinical presentation and factors associated with mortality: Maristela P. FREIRE | Kidney transplantation in people living with HIV: ten-year experience in Modena: Adriana CERVO | Comparison of risk factors and outcome between high and low cytomegalovirus viremia in living donor R+D+ renal transplant recipients from Pakistan: Sunil Kumar DODANI | Single-centre experience with the use of letermovir for prophylaxis of cytomegalovirus in liver transplant recipients: Regino RODRIGUEZ-ALVAREZ | Diagnostic stewardship in early postoperative kidney transplantation: the role of CRP and procalcitonin in infection prediction: Imran HASANOGLU | Experience with isavuconazole in lung transplant recipients with Aspergillus infection: Jose Tiago SILVA | Impact of pre-transplant infection and multi-drug resistant (MDR) bacteria colonisation on in-hospital post-transplant survival in subjects with pre-transplant liver failure: Alice MUL� | Inpatient antimicrobial usage among solid organ transplant recipients in Japan: a ten-year nationwide database study: Koh OKAMOTO | Comprehensive insights into post-liver transplant infections: a study from a Quaternary care hospital in India: Vaishnavi VELMANI | Invasive aspergillosis after lung transplantation: effectiveness of nebulised amphotericin-B prophylaxis and statins as preventive strategies: Douwe Frans POSTMA | Evaluating maribavir use in solid organ transplant recipients: a real-world perspective: Mark HERRINGTON | Vancomycin systemic absorption in lung trasplant recipients treated with inhaled vancomycin: Gonzalo ESCUDERO ARN�S | Lifestyle habits to minimise infection risk in kidney transplant recipients: a single-centre survey: Tamara RUIZ MERLO | Safety of adjuvant respiratory syncytial virus vaccine in lung and allogeneic haematopoietic cell transplant recipients: Adrian Anthony ALEXANDER | Impact of prior mycobacterial and Aspergillus infections on post-lung transplant infections: risk factors, clinical features and prognosis: Miki NAGAO | Impact of recipient age on the incidence of infection following kidney transplantation: Mario FERNANDEZ RUIZ | Go the extra mile: a solid organ transplant-specific antibiogram in a tertiary care centre in Japan: Satoshi KITAURA | Evaluating the efficacy of HBIG and antiviral therapy in preventing hepatitis B recurrence in liver transplant patients: a study from data registry of Montaseriyeh hospital: Rozita KHODASHAHI | Epithelial lining fluid (ELF) concentrations of beta-lactam agents in the lung allograft: Laura N. WALTI | Pre-transplant lymphocyte count and HCMV-specific T-cell response as predictive markers of severe HCMV reactivations in kidney transplant recipients: Irene CASSANITI | Impact of attaining an aggressive PK/PD target with continuous infusion beta-lactams on the clinical efficacy of targeted therapy of early post-transplant Gram-negative infections in critically ill OLT recipients : an interim analysis of a three-year prospective, observational study: Milo GATTI | Burden of first severe infections in kidney transplant recipients: a nationwide French cohort study: Giovanna MELICA","Not specified"
12/04,12:00 - 13:30,PS073,"10c. Infections related to haematopoietic stem cell transplantation","","Prospective evaluation of short- and long-term immune responses to DTaP-IPV and DTaP vaccination in adult allogeneic HSCT recipients: Taiichiro KOBAYASHI | Ethnic disparities in response to CMV immunotherapy using intravenous CMV hyperimmune globulin in paediatric allo-HSCT recipients: Chiara RODARO | Toxoplasmosis after allogeneic haematopoietic cell transplantation: 17 years of experience with Toxoplasma gondii  PCR: Juan GEA-BANACLOCHE | Changing epidemiology of febrile neutropenia in patients undergoing allogeneic haematopoietic stem cell transplantation: Siwar FRIGUI EP OUESLATI | Implementing de-escalation of antimicrobial therapy to targeted agents in haematopoietic stem cell transplantation patients with bloodstream infections: Nicoletta DI LAURIA | Oral contezolid treatment for skin and soft tissue infections in paediatric patients with heamatologic disorders: a retrospective analysis of 13 cases: Yu ZHANG | Letermovir primary cytomegalovirus prophylaxis in allogeneic haematopoietic cell transplant recipients: data from the first multicentre Latin American study: Fabian Armando HERRERA | Toxoplasma and allogeneic stem cell transplantation: Cristina Teresa FUENTES MORALES | Hospital-acquired and ventilator-associated bacterial pneumonia in neutropaenic cancer patients or haematopoietic stem cell transplant recipients: the CARINA study: Carlota GUDIOL | Tuberculosis among allogeneic bone marrow transplant recipients in India: Satish SWAIN | Cellular immune response to RSV vaccine and quadrivalent inactivated influenza vaccine in allogeneic stem cell transplant recipients in the early post-transplant period: Ellen WALSH | SARS-CoV-2 infection prior to hematopoietic stem cell transplantation does not increase mortality or the risk of graft-versus-host disease: Bruno RANDI | Assessment of T-cell-mediated, SARS-CoV-2-specific immune responses in patients after allogeneic haematopoietic stem cell transplantation: a prospective diagnostic study: Michaela STEINHILPER | Evaluation of invasive pneumococcal diseases and vaccination adherence in patients undergoing hematopoietic stem cell transplantation: Adriana BAQUEIRO ABAD RIBEIRO | Epidemiology and outcomes of carbapenem resistant Enterobacterales in immunosuppressed population: Basem ALRADDADI | Isavuconazole for invasive fungal infections in patients with haematologic malignancies and haematopoietic stem cell transplantation: data from the first multicentre Latin American study: Fabian Armando HERRERA | Antifungal prophylaxis strategies in patients with allogeneic haematopoietic stem cell transplantation: impact on empirical antifungal treatment: Fabian Armando HERRERA | Infection in VEXAS patients undergoing haematopoietic stem cell transplantation: Megan BIGGS | Incidence of acute kidney injury in patients treated with beta-lactam monotherapy or beta-lactam/amikacin combination therapy after autologous haematopoietic stem cell transplantation: Sarah DR�GER | Risk factors and a machine learning model to predict adenovirus infection in allogeneic haematopoietic stem cell transplant recipients: Isabel Cristina RAM�REZ-S�NCHEZ | Safety and efficacy of contezolid in haematological patients with Gram-positive infections: a retrospective analysis: Luyang CHANG","Not specified"
12/04,12:00 - 13:30,PS074,"10d. Infections related to cell-based therapies","","Cytomegalovirus infections in patients with relapsed/refractory multiple myeloma on novel therapies: Jennifer MAKHOUL | Longitudinal cytokine expression in CAR-T-treated aggressive-lymphoma patients: Gemma REYNOLDS | Predicting risk of infection in CAR-T-treated lymphoma patients: utility of immune-profiling: Gemma REYNOLDS","Not specified"
12/04,12:00 - 13:30,PS075,"10e. Infections related to cancer treatment (incl neutropaenia)","","Infectious risks with blinatumomab exposure in B-cell acute lymphoblastic leukemia: Seohyeon IM | Epidemiology, risk factors and outcome of neutropaenic enterocolitis in onco-heamatological patients according to chemotherapy regimen: Pierre-Yves BOCHUD | Microbiological background of medical-related osteonecrosis of the jaw bones: Edit ZSOLDIN� URB�N | Cytomegalovirus (CMV) reactivation after chimeric antigen receptor (CAR) T-cell therapy or bispecific antibodies treatment for hematologic malignancies: Juhui HAN | Phenotypic and genotypic characterisation of atypical non-lactose-fermenting Escherichia coli in cancer patients: an emerging diagnostic challenge: Vijeta BAJPAI BATRA | Molecular epidemiology and antimicrobial resistance profiles of Pseudomonas aeruginosa causing bloodstream infections in neutropenic cancer patients: Irene CADENAS JIM�NEZ | Characterisation of bacteraemia caused by Staphylococcus aureus in oncologic patients and mortality-related factors: Juan Fernando CONTRERAS VALERO | Risk of infection by carbapenemase-producing Enterobacterales, associated factors, and a predictive model for its development in oncological patients: Juli�n Andres HOYOS PULGARIN | Comparison of virus-specific T-cell therapy and CD45RA+ T-cell-depleted donor lymphocyte infusion against COVID-19 among adult patients with hematologic malignancies: Balint Gergely SZABO | NGS-based pathogen detection in bronchoalveolar lavage fluid obtained from immunocompromised patients with pulmonary infections: Anna Marie RUCKDESCHEL | Risk of infection in multiple myeloma patients receiving bispecific antibodies: Eduardo APARICIO-MINGUIJ�N | Clinical utility of serum procalcitonin in cancer patients with suspected sepsis episode: Nitin BANSAL | Enterococcal bacteraemia in children undergoing anticancer therapy or haematopoietic stem cell transplantation: a multicentre nationwide survey in Poland (2014-2021): Aleksandra KR�LAK | Infectious complications in patients with relapsed and refractory multiple myeloma undergoing novel bispecific antibody therapy: Silpa JETTY | Antibiotic de-escalation in neutropenic patients with Enterobacterales bacteraemia: an important antimicrobial stewardship programme strategy in the multi-drug resistant era: Fabian Armando HERRERA | Characterisation of infections in immunosuppressed patients with lung cancer in Northwest Spain: Berta PERNAS-SOUTO | Guideline adherence for vancomycin prescribing in febrile neutropaenia cases in Jordan: Aseel ABUSARA | Bacteraemia in neutropaenic patients admitted to the intensive care unit with septic shock: aetiology, clinical characteristics, outcome and impact of multidrug resistance on mortality: Fabian Armando HERRERA | Clinical impact of OXA-48-producing Enterobacterales rectal colonisation on heamatologic patients with febrile neutropaenia: Miguel RODR�GUEZ-FERN�NDEZ | Bacterial agents and antibiotic resistance in febrile neutropenia in Africa: a systematic review and meta-analysis: Temitope OBADARE | Tuberculosis (TB) screening and TB disease in patients on immune checkpoint inhibitors (ICIs): Yii Ean TEH | Bloodstream infection in heamatological malignancy patients: Ebru ORUC","Not specified"
12/04,12:00 - 13:30,PS076,"10f. Infections related to other forms of immunosuppression (e.g. gastrointestinal, rheumatological, dermatological disease, biologicals)","","A proposal of the refined diagnostic criteria for invasive pulmonary aspergillosis in autoimmune inflammatory rheumatic diseases treated with immunosuppressive agents: Takashi KURITA | Bloodstream infection and risk for plasma cell neoplasms: a large population-based cohort study: Adam STEWART | Temporal timing patterns of herpes zoster events in relation to diagnosis of immunocompromising conditions: Omid REZAHOSSEINI | Timing of pneumococcal infections in adults with diseases associated with immunocompromised states: temporal patterns and implications for vaccination: Omid REZAHOSSEINI | IL-5 inhibitors and screening for helminth infection: Sarah JAWAD","Not specified"
12/04,12:15 - 13:15,FIPL1,"Fireplace: Asia: An AMR Hot Zone","Giulia DE ANGELIS; Robert Leo SKOV",": David L. PATERSON","Not specified"
12/04,12:15 - 13:15,IS01,"Advancements in paediatric RSV prevention: navigating the evolving clinical landscape and public health strategies","Monika REDLBERGER-FRITZ","Welcome and Introduction: Monika REDLBERGER-FRITZ | Burden of RSV disease in infants: Joanne WILDENBEEST | Development of new monoclonal antibody to prevent RSV disease: Louis BONT | From theory to practice - public health implementation for RSV: Federico MARTIN�N-TORRES | Panel Discussion and Q&A: Monika REDLBERGER-FRITZ","MSD"
12/04,12:15 - 13:15,IS02,"Revisiting treatment strategies for MBL-producing Enterobacterales and S. maltophilia: what's new?","Matteo BASSETTI; David VAN DUIN","Welcome and Introduction - MBLs on the rise: current insights on epidemiology and disease burden: Matteo BASSETTI | Navigating the challenges: the importance of surveillance and early diagnosis in the management of MBL-producing bacterial infections?: Camilla RODRIGUES | Revisiting the unmet need: what's new in the treatment landscape*: Yehuda CARMELI | Panel Discussion and Q&A - When should the contemporary treatment options be used for MBL infections*?: Matteo BASSETTI","Pfizer"
12/04,12:15 - 13:15,IS03,"Options for best-in-class influenza and COVID-19 vaccines: methodologies, challenges and opportunities in assessing vaccine performance","Meral AKCAY; Tyra Grove KRAUSE","Welcome and Introduction: Meral AKCAY | A comparative analysis of timing and hospitalisation burden of influenza and COVID-19: US, EU and UK: Nabila SHAIKH | Vaccine options for the control of SARS-CoV-2: why having different vaccine platforms matter for public health?: Albert OSTERHAUS | Vaccine options for control of Influenza: methodologies, challenges and opportunities in assessing vaccine performance: Salah MAHMUD | Panel Discussion and Q&A: Meral AKCAY","Sanofi"
12/04,12:15 - 13:15,IS05,"mRNA innovation in action: a new era for respiratory care","Albert VOLLAARD","Welcome and Introduction: Albert VOLLAARD | Panel Discussion and Q&A: Albert VOLLAARD","Moderna"
12/04,12:30 - 12:50,IPT05,"Evolving impact of long COVID","","Evolving impact of long COVID: Roger PAREDES","Not specified"
12/04,13:00 - 13:20,IPT06,"Molecular diagnostic tests: how do you QC? Increase compliance for your IQC programs","","Molecular diagnostic tests: how do you QC? Increase compliance for your IQC programs: Chris CONNELLY","Not specified"
12/04,13:30 - 14:30,EF021,"Infections in hemato-oncological hosts: from bacterial to viral","Genovefa PAPANICOLAOU","Vancomycin-resistant Enterococcus faecium bloodstream infection in patients with hematological malignancy and stem cell transplant: a case-control study: Jollee FUNG | Bacteremia secondary to urinary tract infection in oncology patients: risk factors and impact of multidrug-resistant Gram-negative bacilli.: Ignacio GRAFIA | Rectal carriage of multidrug-resistant organisms and subsequent bloodstream infections in hematologic patients undergoing hematopoietic stem cell transplantation or chimeric antigen receptor T-cell therapy: Charalampos CHARALAMPIDIS | The RUSTIC Study: Respiratory Virus Infection in a Contemporary Longitudinal Cohort of Patients with Haematological Malignancy: Benjamin TEH | Viral respiratory infections in patients with hematological diseases over 10 years: epidemiology and impact on disease severity: Patrizia BONO | Safety and tolerability of SYN-004 in allogeneic hematopoietic cell transplant (HCT) recipients receiving meropenem (MER) or piperacillin/tazobactam (P/T): Erik DUBBERKE | Standardized gastrointestinal cytomegalovirus (CMV) tissue quantitative-nucleic-acid testing (QNAT) compared to immunohistochemistry in allogeneic hematopoietic cell transplant (HCT) recipients: Sara DE ARAG�N DE LA CRUZ | Real-life experience with maribavir for the treatment of cytomegalovirus infection in hematological patients.: Jorge BOAN PEREZ","Not specified"
12/04,13:30 - 14:30,EF022,"Syndromic testing is still coming of age","Tommaso GIANI","Bacterial infections of the central nervous system: addressing the diagnostic gap in non- community-acquired meningitis: Giulia MENCHINELLI | Epidemiological surveillance of central nervous system infections through a rapid syndromic testing platform: Melisa REY | Impact of Syndromic Panel Implementation on Meningitis/Encephalitis Diagnosis, Antimicrobial Use, Costs, and Hospital Stay in a Regional Australian Hospital: Shradha SUBEDI | Performance evaluation of the NxTAG� GPP Panel for the detection of gastrointestinal pathogens by comparison with current routine methods in Nantes University Hospital.: Sophie GIBAUD | Correct discrimination of Monkeypox virus clades by fast syndromic testing: Sven REISTER | Managing a Mycoplasma pneumoniae Outbreak: Impact of Syndromic Panels on Antimicrobial Prescriptions in Pediatric Emergencies: Luis BRUSCA | Performance of BIOFIRE� FILMARRAY� Pneumonia plus in general population, solid organ transplant recipients and patients with hematologic malignancies – Interim analysis: Riccardo RICCARDI | Impact of the molecular rapid diagnostic panel testing in adjustment of antimicrobial therapy in febrile neutropenic patients with bacteremia: Sorawit CHANTHARASUT | BacteREVEAL: Analytical performance and contribution of BioFire� BCID2 and Vitek� REVEALTM in intensive care patients with Gram-negative bloodstream infections: Claire ROGER","Not specified"
12/04,13:30 - 14:30,EF023,"Effective microbiology for the management of sepsis","Maurizio SANGUINETTI","Molecular epidemiology of Klebsiella bloodstream infection-causing isolates across England using Nanopore longread-only sequencing: An interim analysis of the NEKSUS study: Dorottya NAGY | Investigating seasonality of antibiotic resistance associated with E. coli and Klebsiella pneumoniae bloodstream infections: Sam LIPWORTH | Sensitivity of a host-protein test for microbiologically confirmed bacterial infections: Roy NAVON | Comparative genomics of Klebsiella pneumoniae from gut colonisation and bloodstream infections reveal novel genetic associations: Marit HETLAND | Conventional microbiology vs. conventional microbiology + nucleic acid-based multiplex real-time polymerase chain reaction (MPCR) test kit in septic shock: results of a matched cohort study: Gamze SANLIDAG ISBILEN | Contribution of Escherichia coli microbiological factors to the presentation as sepsis/septic shock in patients with bacteraemia: a matched case-control study: Natalia MALDONADO | Simplified and rapid bacterial identification with antimicrobial resistance detection in bacteremia by on-chip multiplexed LAMP.: Capucine TREILLE | Community-onset bloodstream infection among people with opioid use disorders: A twenty-year population-based cohort study in Queensland, Australia.: Kevin LAUPLAND | Microbiological diagnosis tools for primary and secondary abdominal aortic infections requiring surgery: Sarah SOUEGES","Not specified"
12/04,13:30 - 14:30,EF024,"A never-ending evolution of antimicrobial resistance","Antonio OLIVER","Gfa, a novel integron-born fosfomycin resistance mechanism: Nicolas KIEFFER | Regulons of RamA, RarA and SoxS mediated tigecycline resistance and oxidative stress among in vitro tigecycline resistant evolution trajectory of Klebsiella pneumoniae.: Xiaojuan WANG | Assessing the impact of altered penicillin binding proteins on susceptibility to novel antimicrobials among clinical isolates of carbapenemase-producing Escherichia col: Chaitanya TELLAPRAGADA | Enterococcus faecalis penicillin-binding protein-4 sequence differences based on penicillin minimum inhibitory concentration: Olivia FUNK | Uncommon genomic rearrangements drive vancomycin resistance in vanB-positive Enterococcus faecium: Kyriaki XANTHOPOULOU | Heteroresistance in Enterococcus faecalis: prevalence and mechanistic insights across clinically relevant antibiotics: Sheida HEIDARIAN | Side effects of rifampicin resistance: transcriptome modulation by rpoB mutations in Staphylococcus aureus: M�lanie ROCH | Novel continuous experimental evolution methodology revealing rapid resistance development and cross-resistance: Thadd�us ECHELMEYER","Not specified"
12/04,13:30 - 14:30,ME054,"How antimicrobial tolerance impacts polymicrobial biofilm-associated infections","",": Hans STEENACKERS; Brian CONLON","Not specified"
12/04,13:30 - 14:30,ME055,"Long acting injectables to treat and prevent infections: an example from HIV field","",": Monica GANDHI; Pedro CAHN","Not specified"
12/04,13:30 - 14:30,MEET64,"Antimicrobial Stewardship Study Group open meeting (ESGAP)","Diane ASHIRU-OREDOPE; Lucy CATTEAU; Mark G. J. DE BOER; Filippo MEDIOLI; Rita MURRI; Nathan PEIFFER-SMADJA","","Not specified"
12/04,13:30 - 14:30,MEET65,"Food- and Water-borne Infections Study Group open meeting (EFWISG)","Merica CAREV; Ana Raquel FREITAS; Bruno LOPES; Azucena MORA GUTI�RREZ; Stefan ZIMMERMANN","","Not specified"
12/04,13:30 - 14:30,OS017,"Bad bacteria","Maristela P. FREIRE; Siegbert RIEG","Vancomycin Dependent Enterococci: An evolutionary dead end or the ultimate evolution of a superbug: Ruchika GUPTA (BAGGA) | Whipple's disease: one of medicine's great imitators: Saumiya KESAVAN | Phage Therapy as a Rescue Treatment for Recurrent Pseudomonas aeruginosa Bentall Infection: Victor EIFERMAN | A clinical case of Legionella longbeachae pneumonia featuring unique epidemiological features in a major italian hospital: Silvia GUERRIERO | Francisella tularensis – First autochthonous case in the UK: Gemma VANSTONE","Not specified"
